0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:31:29 +0900] "GET /hurdles/site/myPage.do HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:31:30 +0900] "GET /hurdles/site/cartList.do HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:31:30 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:34:47 +0900] "POST /hurdles/site/pay.do HTTP/1.1" 200 22419
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:34:47 +0900] "GET /hurdles/assets/img/kakaopay.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:39:36 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 24656
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:39:36 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:39:36 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:42:44 +0900] "GET /hurdles/site/myPage.do HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:54:46 +0900] "GET /hurdles/site/followDetail.do?memberNo=12 HTTP/1.1" 200 14984
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:54:46 +0900] "GET /Users/han-yohan/04_Middle/workspace/hurdles/src/main/resources/member HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:54:46 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:54:48 +0900] "GET /hurdles/site/followerDetail.do?memberNo=12 HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:54:48 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:57:17 +0900] "GET /hurdles/site/main.do HTTP/1.1" 200 24656
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:57:17 +0900] "GET /upload/member/ HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:57:17 +0900] "GET /hurdles/assets/img/stats-bg.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:57:24 +0900] "GET /hurdles/site/myPage.do HTTP/1.1" 200 19963
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:57:28 +0900] "GET /hurdles/site/myPageUpdate.do HTTP/1.1" 200 12387
0:0:0:0:0:0:0:1 - - [09/Jan/2025:18:58:15 +0900] "GET /hurdles/auth/logout.do HTTP/1.1" 302 -
